0,1,2,3,4,5,6
0.92,10.0,62.893,3.0044274470791508,273.0,0.12,0.07
0.77,10.3,172.344,3.443892939095976,480.0,0.11,0.07
0.86,9.6,47.9,3.1354697080496385,294.0,0.1,0.07
0.85,11.1,1237.868,4.389393005246085,195.0,0.09,0.07
0.84,9.0,26.221,3.1757263332645507,190.0,0.12,0.1
0.77,7.9,21.039,2.967496209398184,257.0,0.14,0.1
0.82,8.2,23.169,3.1797482663382994,239.0,0.1,0.09
0.88,11.4,276.292,3.7668542061575727,203.0,0.08,0.05
0.67,7.7,23.955,2.8178940766378466,260.0,0.14,0.11
0.78,10.0,195.012,3.6257900496686113,745.0,0.12,0.07
0.84,9.8,41.587,4.588508474120074,241.0,0.11,0.08
0.87,10.3,68.933,2.710128321166598,231.0,0.12,0.07
0.8,11.0,160.078,0.3628354166997169,266.0,0.12,0.1
0.81,12.6,60.946,3.1728684814785675,307.0,0.1,0.06
0.8,9.7,54.0,3.000109715596209,232.0,0.12,0.09
0.8,11.8,75.199,3.4425253187313403,301.0,0.12,0.08
0.87,11.0,356.874,4.0032812887340885,299.0,0.08,0.05
0.79,11.4,1764.804,3.788646574988928,1034.0,0.12,0.1
