"","V1","V2","V3","V4","V5"
"26",-0.742000982884715,0.226095998527556,1.11697086674506,2.09367158980372,3.25343986074203
"27",-0.748175324182753,0.227297258531515,1.12688179470477,2.11000243842394,3.26974784490366
"28",-0.753744771839449,0.228414938760278,1.13585337951175,2.12461683269003,3.28425004927124
"29",-0.761295588004399,0.229979057731459,1.14807273084751,2.14426190131576,3.30360531046649
"30",-0.76722674242809,0.23124905304286,1.15769701876315,2.15955497159798,3.3185636683946
"31",-0.770732034369447,0.232018350497024,1.16340854257502,2.16855041989954,3.32733159682924
"32",-0.774004639798052,0.232747228483615,1.16874832039819,2.1769060361511,3.33544718745268
"33",-0.779404938233105,0.233970778310907,1.17756483279405,2.19059306272453,3.34868851207178
"34",-0.785869327838778,0.235467310307074,1.18813763653576,2.20684164183341,3.36431297690273
"35",-0.794308894077762,0.237474532605872,1.20195477488322,2.22778193474221,3.38436347910004
"36",-0.800184307215596,0.238914776137852,1.21160390188936,2.24223270728724,3.39812227722644
"37",-0.807292288308041,0.240691913004474,1.2232659525537,2.25951461623487,3.41449018587823
"38",-0.813484723917132,0.242269723733232,1.2334276426119,2.27440201370411,3.42855051626391
"39",-0.818357776350338,0.243529345964403,1.24139636613778,2.28597848534954,3.43944709441511
"40",-0.8228498721407,0.244705908866038,1.2487375284802,2.29656237103569,3.44937841381782
"41",-0.829954356108176,0.246595806788645,1.26037015016039,2.31316777600099,3.46491927821844
"42",-0.8335023596992,0.247551413828492,1.26616508259917,2.32137304397725,3.47258460918427
"43",-1.06442164306192,-0.278614890547823,0.403647322513664,1.35862741569664,2.8579959031336
"44",-1.051089160003,-0.255551414687479,0.440620236270513,1.41578794465871,2.89686936639142
"45",-1.03358753217527,-0.22527937382789,0.489397957825163,1.48945425847963,2.94461686994207
"46",-1.00608955201605,-0.17754989652683,0.566743605041237,1.60176669618719,3.01329791374631
"47",-0.980732121425643,-0.133366455729418,0.638698382351479,1.70086345147601,3.07067621738885
"48",-0.950422358334517,-0.0803583791482147,0.725205327089886,1.81272203270764,3.13289305449591
"49",-0.920883065520493,-0.0284218498226398,0.809872395473562,1.91427522792873,3.18788168712851
"50",-0.893149009984106,0.0206454473794155,0.889461247750584,2.0026734881201,3.23519194271968
"51",-0.854264544891212,0.0898521496353338,1.00045425570809,2.11507563616288,3.29542949556183
"52",-0.82901548441878,0.135060625354245,1.07180284215808,2.18113866988676,3.33124531672386
"53",-0.801589646805987,0.184483088068964,1.14843458824957,2.24724875837245,3.36761476840651
"54",-0.768910822821005,0.243684825944722,1.23795270909533,2.31882892335426,3.40777709340637
"55",-0.724648898707411,0.324472443288177,1.35532841844551,2.40490958171412,3.45748347566792
"56",-0.694757028936791,0.379381901157487,1.43148705215523,2.45689870495894,3.4883947577248
"57",-0.664325749795675,0.435544598436023,1.50603540368007,2.50545925354944,3.51784263198699
"58",-0.613812124903331,0.529153462536976,1.62232518052843,2.57774752277687,3.56288208837086
"59",-0.57706938776663,0.597456075752132,1.70077958594527,2.62488526289946,3.59301008757607
"60",-0.528621994914448,0.68741140667999,1.7961554174662,2.6811810943672,3.62965127636648
"61",-0.491450043518768,0.756117009060526,1.86331639716399,2.72053207912178,3.65571099736664
"62",-0.438260596679989,0.853483632729598,1.95090703770457,2.77193016303345,3.69026163140574
"63",-0.409496283953602,0.905441214877902,1.99438682768993,2.79761074702304,3.70774675596797
